text;topics;sentiments;date;rating;source;id;author;title;product_category;sentiment
Заказала доставку дебетовой карты. Каждый день до назначенного дня получала смс с напоминанием о том, что такого-то числа в определённый период времени мне привезут карту. И вот долгожданный день. Утром пришло напоминание о доставке карты и. Весь день прождала, курьер так и не появился. И ни звонков, ни смс. И на следующий день тишина. Безобразие!;;;17.05.2024;1;sravni.ru;10313;Юлия None;Доставка дебетовой карты;Повседневные финансы и платежи - Мобильный банк;positive
"Обратилась в отделение в городе Владимир на Б. Нижегородской, 111. Нужно было закрыть счет и снять деньги. Операция в других банках занимает 10 минут.

В Газпромбанке в итоге я потеряла целый день. Все сотрудники в этом отделении включая заместителя начальника не компетентные, как будто их вчера приняли на работу и сразу посадили обслуживать клиентов. По каждому вопросу они звонят на горячую линию. Ничего не могу сделать самостоятельно. Куда смотрит руководство?

В итоге я просидела в очереди 1,5 часа- передо мной приняли 1-го мужчину

и 1,5 часа мне закрывали счет, чтобы снять мои деньги. Отношение мерзкое.

Банк сам по себе очень отсталый и древний с низким уровнем сервиса.

В чате служба поддержки отвечает через час и не в попад. Тупыми отписками.

До операторов не дозвониться- ждешь по 15 минут. Тоже не шарят, чего не спроси- на деле оказывается наоборот.

В приложении постоянные технические ошибки, Приходится ехать в отделение.

И так тут всегда было и будет.

Закройтесь лучше совсем, если не хотите развиваться и соответствовать быстрым темпам четкого обслуживания людей.

Зачем издеваться над людьми и закрывать свои дыры временем своих клиентов.

Газпромбанк — самый худший банк в России.

Не обращусь не при каких условиях.";;;17.05.2024;1;sravni.ru;10314;Алекс None;Газпромбанк-худший банк в России.;Повседневные финансы и платежи - Ведение валютных счетов;positive
"Банк занимается навязыванием услуг. 13.05.2024 Была подключена опция «привелегии плюс», в этот же день я решил, что мне эта услуга не нужна, я ей не пользовался, никаких привлегий не получал. Сразу после подключения написал в чат банка и позвонил на горячую линию. При предъявлении своих требовний ссылался на статью 32 Право потребителя на отказ от исполнения договора о выполнении работ (оказании услуг) закона «о защите парв потребителей». Но в обоих случая мне было отказано.

Требую вернуть мне деньги и отключть опцию, я ей не пользовался, она мне не нужна.

Так же стоит отметить низкий уровень поддержки, на гоярчей лини нужно ждать более 15 минут и по итогу ваш собеседник моджет просто положить трубку, а вам снова ждать 15 минут, чтобы соединили с оператором. В чате тоже очень тяжело получить консультацию.

Ещё в этот же день у меня пропала возможность перевода денег, ни на одном канале поддержки тоже не помогли.";;;13.05.2024;3;sravni.ru;10315;георгий None;Усматривается навязывание услуг;Повседневные финансы и платежи;negative
"Добрый день!
26.04.2024 Подана заявка через интернет-банк на автокредит.
26.04.2024 Позвонил сотрудник банка с пред одобренной заявкой, с условиями для автокредита.
27.04.2024 Встреча с сотрудником банка и подписания Потребительского кредита от 27.04.2024 №. , В этот же день отобразился данный кредит в личном кабинете Газпромбанка.
Сегодня 10.05.2024 Кредитные средства не поступили на счет, по информации сотрудников в чате личного кабинета Газпромбанка и по горячий линии, статус заявки на рассмотрение.
При этом в личном кабинете Газпромбанка, данный кредит есть и при заказе справки о задолженности приходит документ об имеющимся кредите.
Согласно пункту 17. Индивидуальных условий договора потребительского кредита «Кредитный договор считается заключенным в дату перечисления Кредита на счет зачисления, указанный в п. 18 ИУ, не позднее следующих за датой подписания мной ИУ 15 календарных дней.»
Сегодня 10.05.2024 Кредитные средства не поступали и следовательно кредитный договор считается НЕ заключенным.
Также в личном кабинете Газпромбанка указано что 15.05.2024 Будут списаны проценты в сумме 12816,89 рублей, за не заключенный кредитный договор.
Дополнительно сообщаю, что при обращение в чат личного кабинета Газпромбанка и по телефону горячий линии сроки рассмотрения заявок постоянно меняются, при это не ссылаясь не на какие документы. Изначально срок был 1-3 рабочих дня, затем до 14 календарных дней, затем до 30 календарных дней.";;;10.05.2024;1;sravni.ru;10316;Дмитрий Мухортов;Проблемы с Автокредитом в Газпромбанке;Повседневные финансы и платежи - Ведение валютных счетов;positive
Ужасный банк я первый раз сталкиваюсь с подобной кринжовой такой ситуацией воспользовался услугой mir pay чтобы зачислить сумму в размере 95 тысяч на карту через банкомат сбербанка в итоге зачисления не произошло и банкомат не выдал деньги обратно. Написал обращения через банк в итоге уже 20 дней прошло никакого движения хотя банк все говорит что видет и потвержает. Банк просто удерживает мои средства и никак не реагирует, почему я должен чего-то ждать столько времени?;;;09.05.2024;2;sravni.ru;10317;Александр Терновский;Газпром БАНК — ужасный банк;Повседневные финансы и платежи;negative
Списали детское пособие до 1.5 Лет на ребенка, нахожусь в дикрете, сначала позвонила, сказали обратитесь через обратную связь, обратилась сказали что действительно неправомерно забрали деньги, напишите заявление в банке, написала, Алена Игоревна! Ваше обращение № 1706731 от 12.04.2024 Зарегистрировано. Банк ГПБ (АО). Вот оформила заявление, уже дважды пишут что приносят извержения за задержку по решению на мое заявление, сегодня получила опять пособие, которое у меня в очередной раз забрали, а на остаток суммы ограничение, которое не даёт мне ее перевести, опять пойду писать заявлениев банк;;;08.05.2024;1;sravni.ru;10318;Алена None;Возврат денежных пособий;Повседневные финансы и платежи;neutral
"Никогда не имел дел с этим банком, но поскольку в моем банки става стала ниже решил обратится. Обслуживания: при оформлении дебетовой карты
к договору банковского вклада мне навязали кредитную карту ссылаясь что вклад не возможно открыть без этой услуги, это был первый обман или низкая квалификация сотрудника, отдельная проблема было карту закрыть мутузили в течение рабочего дня еще до сих пор остались вопросы так как карта еще не закрыта, второе ставку вклада подобрали под 16% по такой же ставки нашли накопительный счет, но когда я закрыл в Сбербанки свой счет и перевел на Газпромбанк ставка при оформлении на накопительном счете снизалась до 10% в итоги пришлось дома самостоятельно выбрать и изменить другой вклад.";;;04.05.2024;2;sravni.ru;10319;Рафаиль Юсупов;"При оформлении дебетовой карты навязали кредитную карту, ссылаясь что вклад не возможно
открыть.";Повседневные финансы и платежи - Ведение валютных счетов;negative
"Решил я еще в феврале оформить карту UnionPay, увидев акцию по возврате 5000 рублей за открытие карты в виде кэшбека при выполнениее условий (либо 2 месяца несгараемы остаток 50 тыс руб, либо 3 месяца тратить 10 тыс руб по карте). 9 Феварля вечером мне доставили данную карту (и то не с первого раза, должны были еще неделей ранее, но курьер все не мог доехать до меня), тогда же курьер мне сообщил, что несгораемый остаток нужно сохранять со дня АКТИВАЦИИ карты, соответственно, я ее активировал 11 февраля и сразу пополнил на 60 тыс руб, через день, 12 февраля, у меня сняли 5 тыс руб за активацию. Таким образом на карте было 55 тыс руб и данная сумма лежала больше 2 месяцев. 19 Апреля я решил уточнить, когда мне вернутся мои 5 тыс руб в виде кэшбека, однако мне сообщают, что я не выполнил условия, так как надо было пополнить карту в день ПОЛУЧЕНИЯ, а не активации, что звучит как абсурд, учитывая, что доставили мне ее почти в 9 вечера и мне надо было сразу актвировать и пополнить, а из-за того что я пополнил и актвировал на 2 дня позже, меня банк просто шлет, очевидно, вся эта акция именно на это и была рассчитана, так как вижу по отзывам, что таких как я немало человек.

В итоге я написал в поддержку, которая, к слову, отвечает по 2 часа на сообщение, а после ответа сразу отключается без возможности уточнить вопрос, поэтому я принял решение уже позвонить им, аналогично, ждал 30 минут оператора, который сказал, что никак не может мне помочь и единсственный способ это составить обращение, в итоге мы составили обращение, в котором я описал ситуацию (особенно то что мне некорректно сообщил информацию сотрудник банка, доставивший карту), но ответ был аналогичным, в договоре было прописано, что нужно сохранять несгораемый остаток в 50 тыс руб с даты получения карты. С таким же успехом банк может, что угодно писать в договоре, что ты им еще по жизни обязан будешь платить, а перед подписанием тебе будет сотрудник говорить обратную информацию. К слову, моему другу, который тоже оформил карту UnionPay ГПБ, вообще сказали, что можно активировать в любой момент, хоть через 3 месяца и только с того момента держать несгораемы остаток 50 тыс руб. Так что-либо это такая тактика Газпромбанка, либо сотрудники поддержки совсем некомпетентны.

Кстати, в целом, если не брать эту ситуацию, то ГПБ и в правду плохой банк, а причина всему поддержка, которой нет, мне при переводе тысяч 40 блокировали карту, чтобы разблокировать на линии ждал часа 2 на линии, в итоге еще общались неуважительно, а когда звонил по поводу UnionPay, опертаор 10 минут называл какие-то рандомные даты операции, которых у меня не было никогда.

К слову, у меня зарплатный проект в данном банке, а отношение все равно отвратительное! Если будет возможность на работе, то уйду после данной ситуации из ГПБ, пускай лучше переводят на Тинькофф, плюс еще при открытии карты сразу навязывают неявные подписки, благо тут менеджер зарплатного проекта от ГПБ сразу рассказал как в натсройках отключить эту подписку (кстати, не так тривиально это было сделать без его помощи).";;;03.05.2024;4;sravni.ru;10320;Артем Алиев;Обман в возврате 5000 рублей за открытие карты UnionPay;Повседневные финансы и платежи;negative
Консультант банка не владеет информацией или специально вводит людей в заблуждение. Заехал в банк узнать про Накопительный счет, главный вопрос был -в какой день приходят проценты, получил четкий ответ, что в последний день месяца я спокойно положил свои кровные на счет, ожидая получить проценты 30 апреля, НО какого же было мое удивление когда не получив проценты 30 апреля, я спросил у консультанта приложения когда их ждать мне написали, что только 2 мая, т. Е. Банк будет пользоваться моими деньгами два лишних дня. Так как банк сразу стал обманывать, то подожду до 2 мая и сниму деньги. Банк не отвечающий за свои слова. Не советую иметь дело!;;;30.04.2024;1;sravni.ru;10321;Виктор Любимов;Банк обманщик;Повседневные финансы и платежи - Ведение валютных счетов;neutral
"В феврале 2024 года я присоединился к акции «Карта для мечты» от Газпромбанка. Были сомнения в честности этой акции, и срмнения подтвердились. За февраль бонусные баллы начислены были не в полном объеме, причем после моего звонка на горячую линию банка. За март вообще не начислены. При звонке на горячую линию было создано обращение, срок рассмотрения которого 30 дней, (не уточнил, наверно рабочих дней, итого больше месяца).
Так что уважаемая публика делайте выводы, атракциона невиданной щедрости не существует, а реклама банка Газпромбанк мягко говоря лукавит";;;30.04.2024;1;sravni.ru;10322;Юрий Лобанов;Карта для мечты;Другое;positive
"Здравствуйте, хочу поделиться мнением клиента у которого дебетовые карты данного банка. Неудобно, долго, больше не хочу быть клиентом — мое резюме.

Я открывала дебетовые карты под акцию — получи баллы Озон и Аэрофлот. Баллов нет. Ответ я получаю через 2 месяца на свой вопрос. Закрывают счета только в офисе, когда уже многие банки это делают оф лайн через обращение с заявлением. И приходишт в офис, ждешь по часу своей очереди — такие все медленные. В поликлинику к врачу быстрее попадешь, если честно. Совок полный если честно! И разочарование.";;;28.04.2024;1;sravni.ru;10323;Лилия Хаметзакиева;Разочарование;Другое;positive
"В январе 2024 года оформил карту UnionPay. По акции при покупках более 10 000 руб в месяц обещан возврат кешбека в размере стоимости выпуска карты 5000 руб.
При обращении в апреле в отделение банка, операционист сказала, что покупки должны были быть совершены только на территории РФ. При оформлении карты, говорили про любой регион, в котором действует карта.
Прошу пояснить ситуацию, приложить регламент действующей акции.";;;26.04.2024;3;sravni.ru;10324;Алексей Драгун;Не возвращают 5000 руб. За выпуск карты;Повседневные финансы и платежи;positive
03.04.2024 Газпромбанк списал с моей карты комиссию за выпуск именной карты в размере 500 рублей! Поскольку условия о том, что за выпуск именной карты списывается комиссия вступили в силу с 29.03.2024, А моя карта получена ранее этой даты и соответственно закон обратной силы не имеет, мною 01.04.2024, Посредством оператора горячей линии, оставлено обращение о неправомерном списании денежных средств с моей карты. 09.04.2024 Мне поступило сообщение от банка о том, что действительно комиссия за выпуск карты была списана ошибочно и деньги будут возвращены 10.04.2024. Но 10.04.2024 Никто ничего не вернул. Я снова оставила обращение о возврате неправомерно списанных денежных средств. 21.04.2024 Банк прислал сообщение, что возврат ошибочно списанных денежных средств будет осуществлен 20.04.2024! Ну естественно, денег на карте не оказалось) 23.04.2024 Оператор горячей линии сообщил, что возврат запланирован на 25.04.2024. А 26.04.2024 Другой оператор сказал, что никакого возврата в системе не видит, и предложил составить уже третье по счету обращение в банк! На мой взгляд действия банка откровенно мошеннические: (стоит хорошо подумать, нести ли туда свои денежки;;;26.04.2024;2;sravni.ru;10325;Альбина Шафигулина;Не возвращают неправомерно списанные деньги;Повседневные финансы и платежи - Переводы;negative
Участвую в акции Карта мечты с марта 2024 по дебетовой карте Мир, Карта подключена к программе лояльности Понятный кешбек, все условия акции в марте мной были выполнены, сделала покупок в нужных пяти категориях почти на 20000 рублей, все покупки с правильными Мсс кодами по правилам акции, но 25 проценты кешбек за март месяц банк не выплатил. Прошу разобраться в этой ситуации и выплатить кешбек.;;;24.04.2024;2;sravni.ru;10326;Дарья None;Банк не выплатил кешбек по акции «Карта мечты»;Повседневные финансы и платежи;positive
"23.04.24 ~ 17.50 По местному при ванесении на карту ГПБ картой ГПБ 365000р банкомат ГПБ (Северск, ул. Солнечная, 2/5) вернул, как неопознанные 215000р, выждал на обратном отсчете 1 мин, «покрутил» минут 5 с надписью на экране «подождите, еще немного, операция выполняется», заблокировал (УКРАЛ) 150000р без возврата и без занесения на карту с посланием обратится в офис ГПБ. Ни денег, ни чека. Карту ГПБ приложил. ПИН набрал. Действия выбрал. Все выполнял по правилам, по указаниям интерфейса.

ГПБ по факту не выполнил обязательства перед клиентом.

Сорвана финансовая операция.

Требую возврата средств.

Требую неустойку за кажддый день невозврата по ставке 100% годовых.

С уважением Дмитрий Б.";;;23.04.2024;1;sravni.ru;10327;Александр Блюдов;Внесение наличных через банкомат;Повседневные финансы и платежи - Переводы;neutral
Являюсь участником акции «Карта для мечты», в приложении появилась сумма кэшбека, по моим данным — она должна быть больше. Много раз писал в поддержку банка в мобильном приложении — отвечают с большой задержкой, игнорируют конкретные вопросы, отвечают выписками из правил. Я выполнил все условия акции и просто прошу обьяснить мне, за какие операции я получил кэшбек, прошу выписку и т. Д.;;;19.04.2024;1;sravni.ru;10328;Виталий None;Проблемы с кэшбеком по акции Карта для мечты;Другое;neutral
Самый плохой банк по работе с клиентами начислили кешбэк за траты после покупки карты в феврале. Сняли в эти деньги в апреле. Нет связи с оператором в приложении. Не советую этот банк. Вот так снимут деньги и не ответят.;;;18.04.2024;1;sravni.ru;10329;Игорь Пожидаев;Кешбэк сняли с карты;Повседневные финансы и платежи;negative
"Прошу принять меры по пресечению неправомерных действий сотрудников отделения Газпромбанка по адресу г. Оренбург, пр. Дзержинского, д. 33, Стр. 1.
На протяжении многих лет я являюсь вкладчиком нескольких крупных банков, моим непременным условием является отсутствие удаленного доступа к моим вкладам, то есть онлайн-банкинга (банковской карты).
Пользование банковскими услугами исключительно в формате оффлайн, через оператора и кассу, при наличии таковых в банке, является моим законным правом.
Конечно, сотрудники каждого из моих банков регулярно предлагают мне оформить карту, но после моего отказа продолжают обслуживать меня через оператора и кассу.
Так было и на протяжении некоторого времени пользования Газпромбанком, хотя предложение оформить карту с каждым разом все больше звучало как требование.
11 Марта 2024 года при очередном посещении офиса по вышеуказанному адресу с целью очередного перезаключения договора депозита на следующие полгода с добавлением суммы наличными мне было в этом отказано!
Со слов сотрудника банка, теперь в кассе наличные принимаются и выдаются только в сумме от 1 миллиона рублей либо если вкладчику более 70 лет!
Позвать старшего сотрудника либо выдать мне письменный отказ в приеме наличных с объяснением причин отказались!
На горячей линии банка правомерность подобного отказа не подтвердили и попросили передать сотрудникам офиса, чтобы те позвонили на горячую линию для разъяснения им их обязанностей.
На это сотрудники ответили, что горячая линия им не указ, они будут делать так, как считают нужным, и политика банка отныне — удобство для сотрудников, а не для клиентов!
Сотрудникам удобно тратить на клиентов как можно меньше времени!
В конце концов, после трех часов сидения в очередях и морального издевательства, мне выдали мой вклад наличными и отправили на все четыре стороны!
Пожалуйста, помогите пресечь самоуправство сотрудников данного офиса! Возможно, в других офисах ко мне отнеслись бы иначе, но желание иметь дело с этим банком у меня пропало напрочь!
Хотелось бы помочь другим вкладчикам, а так же избежать в будущем распространения подобного самоуправства в другие банки, ведь безнаказанность развращает!";;;16.04.2024;1;sravni.ru;10330;Людмила None;Отказ в приеме/выдаче наличных при наличии карты;Повседневные финансы и платежи - Мобильный банк;negative
"Добрый день!

05.09.2023 Оформил предварительную онлайн заявку на карту, но потом передумал оформлять и получать её.

27.11.2023 Оформил новую заявку по специальной ссылке на странице акции «Впечатляющий кэшбэк» + «Приятный кэшбэк». У меня небыло действующих карт банка. Я полностью подходил под условия акции «Впечатляющий кэшбэк» пункт 3.

30.11.2023 Получил в отделении единственную действующую карту.

20.12.2023 Совершил покупку на 1001р. , Чтобы выполнить условие акции «Приятный кэшбэк», трата 1000р. В течение 30 дней.

В январе не получил 1000 бонусов по акции «Приятный кэшбэк».

В январе выполнил условия программы лояльности по тратам 5000р. По выписке за январь сумма трат в категории Супермаркеты 3792.45Р. , В категории Маркетплейсы 5601р. (С учётом возврата 1058р.)

В феврале не получил кэшбэк за январь в размере максимально возможных 2000 бонусов (3792.45*15%=568 Бонуса за супермаркеты и 5601*30%=1680 бонусов за маркетплейсы) по акции «Впечатляющий кэшбэк».

02.02.2024 Составил общее обращение № 1609293 о не начислении бонусов по обеим акциям. Получил ответ, что я не соответствую пункту 3.1.1 Условий акции «Приятный кэшбэк», без пояснений. По акции «Впечатляющий кэшбэк» только слова, что всё начисляется автоматически.

20.03.2024 Было составлено отдельное обращение № 1673537 о неначислении кэшбэка по акции «Впечатляющий кэшбэк». Получил ответ, что не соответствую пункту 3 условий акции «Впечатляющий кэшбэк».

Многократные попытки выяснить причину моего несоответствия пунктам 3.1.1 И 3 по обеим акциям, через чат и по телефону, не увенчались успехом. В чате чрезмерно долгое ожидание, шаблонный ответы об условиях акций и мгновенное прекращение общения, либо вообще отсутствие ответа из-за загруженности.

Пояснение:

При получении карты 30.11.2023 Я озвучил сотруднику, что оформил заявку онлайн, чтобы учавствовать в акциях «Впечатляющий кэшбэк» и «Приятный кэшбэк».

Сотрудник выдал карту \*0905 не по новой заявке от 27.11.2023 (Счёт \*8597), а по старой неактуальной заявке от 05.09.2023 (Счёт \*6613). Полагаю, что из-за этой ошибки небыл начислен кэшбэк.

Во время звонка в контактный цент 28.03.2024 Оператор подтвердила, что у меня небыло действующих карт на дату 30.11.2023 И что я должен был стать участником акции «Впечатляющий кэшбэк». Она создала внутренний запрос, чтобы со мной связались. Но на 13.04.2024 Этого так и не произошло, хотя срок был озвучен 5 рабочих дней.

Прошу компенсировать ошибку с выдачей карты по неактуальной заявке и начислить 2000 бонусов вручную, потому что на 30.11.2023 У меня небыло действующих карт банка и я полностью соответствовал пункту № 3 условий акции «Впечатляющий кэшбэк».

По акции «Приятный кэшбэк» тоже хотелось бы получить 1000 бонусов, потому что все условия я выполнил.

Жаль, что банк никак не компенсирует кучу убитого времени на бессмысленные переписки и звонки, в том числе время на написание этого подробного отзыва. Как был банк низкого качества, когда я был зарплатным клиентом 6 лет назад, так и не особо изменился. Поддержка в чате не заинтересована решать проблемы, а работает по шаблонным ответам и сразу прерывает диалог, начало которого можно ожидать несколько часов.";;;14.04.2024;2;sravni.ru;10331;Михаил None;Не начислили кэшбэк по акции из-за своей же ошибки.;Повседневные финансы и платежи - Дебетовые карты;positive
Ожидать простейшей операции 55 минут, когда перед тобой в очереди 4 человека при 4 работающих окнах — это полный ужас для 21 века. Впечатление, что у операционистов отсутствует регламент по работе с клиентами. Если бабушка хочт расказать историю своей семьи — пожалуйста, операционаст с удовольствием поговорит с ней об этом минут 30-40, после чего, уставший, молча встанет и уйдет с рабочего места еще минут на 10-15 по чай пить. Сбербанк — просто современнейший технологичный банк, по сравнению с этими ребятами. Кошмар. Видимо, ГПБ совершенно не заинтересован в привлечении.;;;11.04.2024;2;sravni.ru;10332;Дмитрий None;Ооочень медленное обслуживание. Непредсказуемо медленное!;Повседневные финансы и платежи;negative
"В январе 2023 оформила дебетовую карту через курьера. При получении не удалось связать карту с приложением, на что мне посоветовали обратиться в офис банка. (Т. Е. Потратить время и пока не пользоваться картой). В офисе выяснилось, что ранее оформляли карту моему несовершеннолетнему сыну (централизованно оформлялось военным училищем) и привязали мой номер телефона как родителя, из-за данной ошибки произошёл сбой в системе. А когда оформляли карту этого не видели? . В общем в первых числах января 2024. Пришли в офис с сыном, где он расторгнул договор с банком (заметьте, училище давно расторгло с этим банком сотрудничество и перешли в другой банк. Соответственно эта карта сыну уже была не нужна). После расторжения сотрудник банка меня заверила, что моя карта теперь будет работать без проблем. Интернет банк заработал, а мобильное приложение должно было заработать в скором времени, просто был сбой в системе и его быстро исправят). Ну хорошо. Решила воспользоваться акцией приведи друга. Оформили 2е карты мужу и маме (они действительно были нужны). Исполнили все условия договора, и вот. Уже апрель месяц, а воз и ныне там. Ни мне, ни мужу, ни маме обещанные средства так и не поступили. Обращения в банк N1629159 от 18.02.2024, И N 1681578 от 26.03.2024 До сих пор не рассмотрены (52 дня уже прошло)! И мобильное приложение тоже так и не работает! Все будем отказываться от этого банка путём закрытия счетов и расторжения договоров! Да, забыла упомянуть ещё один ужасный факт! После получения карт Газпром банка на всех его владельцев обрушился шквал звонков от разных спамеров, рекламных акций разных организаций, мошенников и т. Д. Налицо явный слив данных клиентов! Не рекомендую связываться с этим банком!

P. S. Сейчас оформила карту Альфа банка, вопросов к ним нет совсем и жаловаться не на что!";;;10.04.2024;1;sravni.ru;10333;Анастасия Ткаченко;Ужасный банк, слив информации, обман!;Повседневные финансы и платежи - Дебетовые карты;negative
"Ситуация:
приложение банка (IOS, MillionerConsalting) написано так криво, что его удобству позавидует разве что поделие студента-программиста. Именно из-за топорности и кривости приложения, оно при каждом входе предлагает тебе рекламный баннер, на который можно нажать, или закрыть, там предложения аля: «вклад, кредит и т. Д.»
И вот меня угораздило когда-то не попасть в крестик, а просто нажать на баннер с кредитным предложением, и начался кошмар. Во-первых звонок с утра и вечером от контактного центра банка стал для меня обыденностью. Во-вторых в разговоре я не смог ни одному менеджеру донести мысль, что я не нуждаюсь в кредите и нажал на баннер случайно закрывая его — нет, все это не аргументы для них. Так прошло 4-5 дней бесперебойных звонков: «здравствуйте, вы начали заполнять, мы предварительно одобрили, зайдите дозаполните». Т. К. Имею опыт взаимодействия с банком, знаю, что одобренная заявка ничего не обозначает, и вполне потребуется справка с работы и т. Д. Потому не хотел точно ввязываться в это.
Однако, на пятый день звонков уже была пятница, и предприимчивый молодой человек набрал мне, выслушал все мои аргументы и выдал ранее не озвученные моменты, а именно: вам уже одобрили сумму, осталось только подписать документы и все уже одобрено. Зная все эти тонкости, я решил проверить его информацию и пошел в приложение банка.
Выбрал вкладку с кредитными предложениями, увидел свое новое предложение, и решил его дозаполнить, да и к тому же, появилась перспектива потратить эти деньги на полезное.
И тут начался «сюрреализм». Заполнив все оставшиеся данные, я получил смс с подтверждением заявки, а затем, получил одобренный кредит который нужно было просто подписать. Однако после выставления даты платежа и выбора суммы приложение начало выдавать мне ошибку и не пропускать далее.
Таким образом имеем: нерабочую заявку на кредит, кучу звонков от контакт центра. Но это еще не всё, обратившись в тех поддержку, они выдали мне 4 рабочих дня на рассмотрение проблемы, а затем еще 14 на возможное решение с правом продлить-отдалить ответ.
Т. Е. Ко всему до кучи получили нерабочую заявку, т. К. Она действительна в течение 20 дней, а на момент рассмотрения проблемы она уже остается действительной пару дней.
Вот такие вот пироги. Что могу сказать, ужасное предложение, ужасное издевательство с продуктами, ужасная работа тех поддержки которая может ответить через 30 минут или через половину дня.
Настоятельно не рекомендую пользоваться, только при крайней необходимости. Закрою кредит и уйду.";;;10.04.2024;2;sravni.ru;10334;Никита Гайдаш;Как нажать на поп-ап в приложении и попасть в «сюрреализм»;Повседневные финансы и платежи - Мобильный банк;negative
